Country Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Guatemala,2.576,2.573,2.623,2.608,2.608,2.566,2.605,2.746,2.748,2.807,2.971,3.06,2.95,2.825,2.874,3.209,3.497,3.171,2.765,3.017,2.717,2.506,2.583,2.462,2.283,2.193,2.953,2.174,3.051,2.705
Guam,7.6,7.9,8.283,9.67,7.74,13.95,15.32,13.213,11.39,9.691,7.7,7.0,7.4,8.3,8.889,9.3,8.2,13.3,12.2,11.5,7.6,6.9,5.4,5.417,5.447,5.402,6.227,6.001,5.527,5.418
Guyana,11.598,11.622,11.602,11.62,11.718,11.785,11.901,11.802,11.81,11.532,11.279,11.066,10.7,10.891,11.111,11.42,11.758,11.977,12.231,12.528,12.887,13.273,13.563,13.813,14.019,13.525,15.701,14.927,12.423,12.43
"Hong Kong SAR, China",1.9,3.22,2.83,2.22,4.58,6.25,4.92,5.09,7.28,7.86,6.74,5.58,4.77,4.01,3.56,5.26,4.329,3.422,3.285,3.4,3.296,3.314,3.392,3.124,2.805,2.917,5.808,5.174,4.318,3.931
Honduras,3.136,3.24,4.37,3.32,4.02,3.85,3.881,4.0,4.02,5.3,5.99,4.909,3.575,3.211,3.156,3.292,4.119,4.475,3.755,5.646,7.078,6.147,6.727,5.528,5.622,5.551,10.679,7.94,7.037,6.062
Croatia,10.332,9.995,9.68,9.71,11.392,13.559,16.064,15.822,15.053,13.924,13.664,12.598,11.13,9.909,8.53,9.202,11.62,13.678,15.935,17.251,17.29,16.175,13.103,11.208,8.432,6.617,7.507,7.608,6.96,6.063
Haiti,7.97,7.56,7.319,6.968,7.159,7.2,8.441,9.744,11.044,12.184,13.458,14.589,15.914,16.8,16.194,15.342,15.255,14.482,14.1,13.639,13.766,13.745,13.888,13.929,13.937,14.133,15.56,15.253,14.719,14.623
Hungary,10.847,10.168,10.022,8.991,8.925,6.929,6.563,5.671,5.608,5.79,5.832,7.189,7.494,7.406,7.817,10.03,11.172,11.029,11.003,10.177,7.725,6.813,5.115,4.156,3.709,3.419,4.25,4.045,3.609,4.126
Indonesia,4.366,4.611,4.861,4.684,5.459,6.358,6.078,6.082,6.604,6.658,7.303,7.945,7.551,8.06,7.209,6.106,5.614,5.153,4.468,4.336,4.049,4.514,4.301,3.783,4.387,3.59,4.255,3.827,3.462,3.417
India,6.828,6.99,7.147,7.335,7.517,7.682,7.856,8.039,8.248,8.397,8.551,8.697,8.614,8.534,8.486,8.406,8.318,8.222,8.156,8.088,7.992,7.894,7.8,7.723,7.652,6.51,7.859,6.38,4.822,4.172
